gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Pygmaeconus-traillii-COI	Gastropoda/Neogastropoda/Conidae/Pygmaeconus-traillii	1.0	8	8	Animalia	Mollusca	Gastropoda	Neogastropoda	Conidae	Pygmaeconus	Pygmaeconus traillii		
Pygmaepterys-pointieri-COI	Gastropoda/Neogastropoda/Muricidae/Pygmaepterys-pointieri	1.0	4	4	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Pygmaepterys	Pygmaepterys pointieri		
Pyramidula-cephalonica-COI	Gastropoda/Stylommatophora/Pyramidulidae/Pyramidula-cephalonica	1.0	4	4	Animalia	Mollusca	Gastropoda	Stylommatophora	Pyramidulidae	Pyramidula	Pyramidula cephalonica		Pyramidula sp. Pysp1
Pyramidula-pusilla-COI	Gastropoda/Stylommatophora/Pyramidulidae/Pyramidula-pusilla	1.0	88	88	Animalia	Mollusca	Gastropoda	Stylommatophora	Pyramidulidae	Pyramidula	Pyramidula pusilla		
Pyramidula-saxatilis-COI	Gastropoda/Stylommatophora/Pyramidulidae/Pyramidula-saxatilis	1.0	165	165	Animalia	Mollusca	Gastropoda	Stylommatophora	Pyramidulidae	Pyramidula	Pyramidula saxatilis		Pyramidula pusilla
Pyrgulopsis-archimedis-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-archimedis	1.0	4	4	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis archimedis		
Pyrgulopsis-blainica-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-blainica	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis blainica		
Pyrgulopsis-deaconi-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-deaconi	1.0	11	11	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis deaconi		
Pyrgulopsis-fresti-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-fresti	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis fresti		
Pyrgulopsis-hendersoni-COI	Gastropoda/Littorinimorpha/Hydrobiidae/Pyrgulopsis-hendersoni	1.0	4	4	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae	Pyrgulopsis	Pyrgulopsis hendersoni		Pyrgulopsis robusta
