gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Spisula-subtruncata-COI	Bivalvia/Venerida/Mactridae/Spisula-subtruncata	1.0	8	8	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	Spisula subtruncata		
Spongiobranchaea-australis-COI	Gastropoda/Pteropoda/Pneumodermatidae/Spongiobranchaea-australis	1.0	4	4	Animalia	Mollusca	Gastropoda	Pteropoda	Pneumodermatidae	Spongiobranchaea	Spongiobranchaea australis		
Stenoplax-purpurascens-COI	Polyplacophora/Chitonida/Ischnochitonidae/Stenoplax-purpurascens	1.0	3	3	Animalia	Mollusca	Polyplacophora	Chitonida	Ischnochitonidae	Stenoplax	Stenoplax purpurascens		
Stenosemus-albus-COI	Polyplacophora/Chitonida/Ischnochitonidae/Stenosemus-albus	1.0	13	13	Animalia	Mollusca	Polyplacophora	Chitonida	Ischnochitonidae	Stenosemus	Stenosemus albus		
Sterkia-calamitosa-CYTB	Gastropoda/Stylommatophora/Vertiginidae/Sterkia-calamitosa	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Sterkia	Sterkia calamitosa		
Sterkia-clementina-CYTB	Gastropoda/Stylommatophora/Vertiginidae/Sterkia-clementina	1.0	4	4	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Sterkia	Sterkia clementina		
Sterkia-hemphilli-CYTB	Gastropoda/Stylommatophora/Vertiginidae/Sterkia-hemphilli	1.0	4	4	Animalia	Mollusca	Gastropoda	Stylommatophora	Vertiginidae	Sterkia	Sterkia hemphilli		
Steromphala-adansonii-COI	Gastropoda/Trochida/Trochidae/Steromphala-adansonii	1.0	11	11	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Steromphala	Steromphala adansonii		Gibbula adansonii
Steromphala-cineraria-COI	Gastropoda/Trochida/Trochidae/Steromphala-cineraria	1.0	19	19	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Steromphala	Steromphala cineraria		Gibbula cineraria
Steromphala-divaricata-COI	Gastropoda/Trochida/Trochidae/Steromphala-divaricata	1.0	12	12	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Steromphala	Steromphala divaricata		Gibbula divaricata
Steromphala-nebulosa-COI	Gastropoda/Trochida/Trochidae/Steromphala-nebulosa	1.0	6	6	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Steromphala	Steromphala nebulosa	nebulosa	Gibbula umbilicaris nebulosa
Steromphala-nivosa-COI	Gastropoda/Trochida/Trochidae/Steromphala-nivosa	1.0	9	9	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Steromphala	Steromphala nivosa		Gibbula nivosa
