accession	gbif_id	source_id	latitude	longitude	basis_of_record	geodetic_datum	coordinate_uncertainty_in_meters	issue
GU223666	897089190	0	67.753	-136.067	PRESERVED_SPECIMEN	unknown	0	GEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84COORDINATE_UNCERTAINTY_METERS_INVALID
GU223698	897089190	1	67.753	-136.067	PRESERVED_SPECIMEN	unknown	0	GEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84COORDINATE_UNCERTAINTY_METERS_INVALID
GU223730	897089190	2	67.753	-136.067	PRESERVED_SPECIMEN	unknown	0	GEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84COORDINATE_UNCERTAINTY_METERS_INVALID
GU564764	897096757	3	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU564765	897097003	4	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU564766	897096233	5	64.574167	177.324444	PRESERVED_SPECIMEN	World Geodetic System 1984	200	COORDINATE_ROUNDED
GU564767	897096380	6	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU564769	897096156	7	64.574167	177.324444	PRESERVED_SPECIMEN	World Geodetic System 1984	200	COORDINATE_ROUNDED
GU564831	897096222	8	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU564832	897096509	9	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU564843	896997687	10	64.917117	-147.84755	PRESERVED_SPECIMEN	World Geodetic System 1984	60	COORDINATE_ROUNDED
GU564844	896997693	11	64.917117	-147.84755	PRESERVED_SPECIMEN	World Geodetic System 1984	60	COORDINATE_ROUNDED
GU564853	897096768	12	64.816389	177.545556	PRESERVED_SPECIMEN	World Geodetic System 1984	600	COORDINATE_ROUNDED
GU929244	897096156	13	64.574167	177.324444	PRESERVED_SPECIMEN	World Geodetic System 1984	200	COORDINATE_ROUNDED
GU929245	897096233	14	64.574167	177.324444	PRESERVED_SPECIMEN	World Geodetic System 1984	200	COORDINATE_ROUNDED
GU929246	897096757	15	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU929247	897097003	16	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU929248	897096380	17	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU929250	897096768	18	64.816389	177.545556	PRESERVED_SPECIMEN	World Geodetic System 1984	600	COORDINATE_ROUNDED
GU929251	897096222	19	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU929252	897096509	20	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
GU929326	896997687	21	64.917117	-147.84755	PRESERVED_SPECIMEN	World Geodetic System 1984	60	COORDINATE_ROUNDED
GU929327	896997693	22	64.917117	-147.84755	PRESERVED_SPECIMEN	World Geodetic System 1984	60	COORDINATE_ROUNDED
HM992593	1145173274	23	62.01871	129.60891	PRESERVED_SPECIMEN	World Geodetic System 1984	2000	HM992682
HM992596	1145173189	24	61.754217	129.525483	PRESERVED_SPECIMEN	World Geodetic System 1984	1000	COORDINATE_ROUNDED
HM992597	1145173122	25	61.754217	129.525483	PRESERVED_SPECIMEN	World Geodetic System 1984	1000	COORDINATE_ROUNDED
HM992598	1145173234	26	61.754217	129.525483	PRESERVED_SPECIMEN	World Geodetic System 1984	1000	COORDINATE_ROUNDED
HM992600	1145174990	27	61.54973	130.88865	PRESERVED_SPECIMEN	World Geodetic System 1984	1000	HM992688
HM992605	897092581	28	64.447778	161.129722	PRESERVED_SPECIMEN	unknown	2000	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
HM992606	897096440	29	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
HM992607	897096528	30	64.816389	177.545556	PRESERVED_SPECIMEN	World Geodetic System 1984	600	COORDINATE_ROUNDED
HM992608	897096635	31	64.816389	177.545556	PRESERVED_SPECIMEN	World Geodetic System 1984	600	COORDINATE_ROUNDED
HM992609	897096628	32	64.805556	177.554167	PRESERVED_SPECIMEN	unknown	400	COORDINATE_ROUNDEDGEODETIC_DATUM_INVALIDGEODETIC_DATUM_ASSUMED_WGS84
